freshBlood,hotStreak,inactive,leaguePoints,losses,rank,summonerName,tier,veteran,wins
False,False,False,0,9,IV,TheOnnomise,IRON,False,0
False,False,False,30,152,IV,headlezz2,IRON,False,80
False,False,False,64,8,IV,A Fat Baboon,IRON,False,1
False,False,False,0,65,IV,Iron Monkeý,IRON,False,19
False,False,False,0,84,IV,DrTryll,IRON,True,46
False,False,False,70,7,IV, zZMouseZz,IRON,False,1
False,False,False,0,87,IV,xoid01,IRON,True,36
False,False,False,13,102,IV,ED BENG ,IRON,True,51
False,False,False,50,108,IV,MyDadTouchedMe,IRON,True,56
False,False,False,23,87,IV,Yah Cabbage,IRON,False,26
False,False,False,30,16,IV,Zeloxin,IRON,False,2
False,False,False,0,148,IV,MAK97,IRON,True,75
False,False,False,98,121,IV,TheSupremeRJ,IRON,True,71
False,False,False,59,159,IV,GuyAssassin,IRON,True,99
False,False,False,0,122,IV,Pabie GO,IRON,True,27
False,False,False,44,146,IV,WraithDaGhost,IRON,True,111
False,False,False,97,29,IV,239583,IRON,False,5
False,False,False,0,246,IV,Ukoti,IRON,True,197
False,False,False,70,7,IV,DEMONIAI,IRON,False,1
False,False,False,43,121,IV,juanubz3,IRON,True,55
False,False,False,70,7,IV,InsaneBeam101,IRON,False,1
False,False,False,48,86,IV,kylebeausoleil,IRON,True,33
False,False,False,52,96,IV,dittotron,IRON,False,31
False,False,False,20,319,IV,   Ul II M II lU,IRON,True,195
False,False,False,64,8,IV,ArlensM,IRON,False,1
False,False,False,52,54,IV,ZeynK,IRON,False,14
False,False,False,68,152,IV,Casspurr,IRON,True,88
False,False,False,60,76,IV,pHanTomARC1,IRON,True,26
False,False,False,17,133,IV,fnordfeline,IRON,True,68
False,False,False,61,26,IV,donbigg,IRON,False,8
False,False,False,100,239,IV,TH CLOSE,IRON,True,180
False,False,False,82,131,IV,UpskillGod,IRON,True,69
False,False,False,62,16,IV,llIllIlIllIllIll,IRON,False,2
False,False,False,61,75,IV,MF 0R TR0LL,IRON,False,27
False,False,False,54,264,IV,YeRedKeyEye25,IRON,True,133
False,False,False,83,93,IV,IRON GATEKEEPERS,IRON,True,31
False,False,False,78,188,IV,Littlebunnyphu,IRON,True,123
False,False,False,48,439,IV,Meow Nyang,IRON,True,205
False,False,False,49,47,IV,GPV247,IRON,False,1
False,False,False,0,162,IV,archave,IRON,True,90
False,False,False,0,93,IV,Tohoku Kiritan,IRON,False,14
False,False,False,82,147,IV,Chronosinger,IRON,True,89
False,False,False,0,89,IV,TakeMeToTheTop,IRON,False,24
False,False,False,75,101,IV,helking111,IRON,False,42
False,False,False,60,87,IV,wPfYAnn,IRON,False,28
False,False,False,0,105,IV,FaZeFakayttv,IRON,True,42
False,False,False,100,10,IV,spinkli,IRON,False,3
False,False,False,74,157,IV,matrix14729,IRON,True,75
False,False,False,0,64,IV,dsn,IRON,False,0
False,False,False,75,47,IV,K34Y34S,IRON,False,1
False,False,False,0,63,IV,positive comment,IRON,False,12
False,False,False,72,78,IV,Oracle Hamster,IRON,False,29
False,True,False,85,150,IV,Alpha Male 2004,IRON,True,72
False,False,False,0,197,IV,God Zed,IRON,True,31
False,False,False,0,157,IV,SupremeMickey,IRON,True,97
False,False,False,0,115,IV,theycallmeamir,IRON,False,51
False,True,False,77,134,IV,Iron Maniac,IRON,True,72
False,False,False,75,52,IV,nPaula,IRON,False,2
False,False,False,34,153,IV,LoLSillyGnome,IRON,True,72
False,False,False,72,86,IV,AaronTorkil,IRON,False,34
False,False,False,67,81,IV,CammyIce,IRON,True,26
False,False,False,15,64,IV,ZipZap,IRON,True,39
False,False,False,73,53,IV,lRON IMMIGRANT,IRON,False,8
False,False,False,66,145,IV,noface,IRON,True,106
False,False,False,0,193,IV,is this taken,IRON,True,78
False,False,False,45,67,IV,Niloc Jin,IRON,True,49
False,False,False,85,15,IV,bodyshot,IRON,False,3
False,False,False,95,7,IV,SquishyGhost,IRON,False,3
False,False,False,90,159,IV,Chase to DIE,IRON,True,69
False,False,False,70,8,IV,LadyYunie,IRON,False,3
False,False,False,60,27,IV,MUNICOS,IRON,False,12
False,False,False,75,16,IV,Bump1,IRON,False,6
False,False,False,0,175,IV,Edstr0m11,IRON,True,68
False,False,False,0,9,IV,gbrenik,IRON,False,0
False,False,False,86,6,IV,Khankore,IRON,False,2
False,False,False,68,6,IV,millerlite86,IRON,False,2
False,False,False,78,10,IV,RiftKitty Nyx,IRON,False,2
False,False,False,60,215,IV,thunderburd,IRON,True,193
False,False,False,49,229,IV,Toxic Brent,IRON,True,141
False,False,False,50,24,IV,PUCK73,IRON,False,20
False,False,False,100,26,IV,zadaain,IRON,False,23
False,False,False,37,16,IV,icecold11786,IRON,False,5
False,False,False,16,30,IV,intelleganve,IRON,False,16
False,False,False,44,41,IV,spack,IRON,False,30
False,False,False,57,14,IV,iSnatchBitches,IRON,False,2
False,False,False,0,91,IV,greenhead44,IRON,True,51
False,False,False,72,44,IV,Mateo Fuego,IRON,False,19
False,False,False,70,9,IV,Malpositioning,IRON,False,2
False,False,False,27,16,IV,Aadek,IRON,False,2
False,False,False,0,46,IV,KADAMA,IRON,False,10
False,False,False,0,11,IV,DasBirney,IRON,False,0
False,False,False,70,7,IV,InducedPsychosis,IRON,False,1
False,False,False,89,10,IV,ZeeKiller,IRON,False,2
False,False,False,94,7,IV,Groedius,IRON,False,3
False,False,False,67,7,IV,Benyamien,IRON,False,1
False,False,False,61,13,IV,Reaper grim,IRON,False,2
False,False,False,27,193,IV,Bikini Funny,IRON,True,152
False,False,False,100,9,IV,koz1974,IRON,False,5
False,False,False,45,178,IV,ML1,IRON,True,116
False,False,False,98,9,IV,ShadowEli,IRON,False,2
False,False,False,71,75,IV,PsuedoDiety,IRON,False,14
False,False,False,46,126,IV,paule383,IRON,True,85
False,False,False,91,12,IV,710Space Invader,IRON,False,3
False,False,False,35,9,IV,thesunlightman,IRON,False,1
False,False,False,45,40,IV,FiddlesticksPro,IRON,False,23
True,False,False,85,7,IV,UntamedXFury,IRON,False,2
False,False,False,70,7,IV,I Miranda Kerr I,IRON,False,1
False,False,False,19,10,IV,Jalleyfish,IRON,False,2
False,False,False,61,8,IV,RankinDeath,IRON,False,1
False,False,False,70,7,IV,DrakothX,IRON,False,1
False,False,False,83,65,IV,Kawi232,IRON,True,46
False,False,False,81,11,IV,MariusTook,IRON,False,2
False,False,False,55,11,IV,HitomiUri,IRON,False,6
False,False,False,72,13,IV,deucetin,IRON,False,2
False,False,False,0,83,IV,DarrowAndromedus,IRON,True,66
False,False,False,89,9,IV,Lilstocky,IRON,False,2
False,False,False,20,101,IV,Jarmageddon,IRON,True,40
True,False,False,100,125,IV,benny9898,IRON,False,59
False,False,False,75,58,IV,Wolfhousen,IRON,False,37
False,False,False,34,41,IV,RexMex,IRON,False,31
False,False,False,40,36,IV,SrA Ortsac,IRON,False,21
False,False,False,100,27,IV,Master0fTwilight,IRON,False,3
False,False,False,78,11,IV,LocoJames,IRON,False,6
False,False,False,99,8,IV,oman9807,IRON,False,2
False,False,False,70,8,IV,Kenneth 87,IRON,False,1
False,True,False,100,78,IV,NanoClutch,IRON,True,59
False,False,False,87,34,IV,juicyjoos,IRON,False,27
False,False,False,70,7,IV,aBrownMan,IRON,False,1
False,False,False,0,14,IV,xFujiApples,IRON,False,4
False,False,False,22,52,IV,bigpimpin003,IRON,False,2
False,False,False,0,10,IV,Laughrica,IRON,False,0
False,False,False,54,168,IV,Ghandi Z,IRON,True,120
False,False,False,95,75,IV,Gatekeep,IRON,True,57
False,False,False,100,159,IV,ELMEXICANCHILE,IRON,True,135
False,False,False,0,9,IV,Bararo,IRON,False,0
False,False,False,44,35,IV,MarkusDavidicas,IRON,False,26
False,False,False,46,12,IV,XxDanNyLxX,IRON,False,3
False,False,False,20,174,IV,lordgraybane,IRON,True,112
False,False,False,88,105,IV,JE SWEE IDOT,IRON,True,78
False,False,False,61,8,IV,Nocturnal Greed,IRON,False,1
False,False,False,75,39,IV,THEDISINTEGROTOR,IRON,False,19
False,False,False,82,16,IV,Wofrick,IRON,False,4
False,False,False,70,7,IV,Magani,IRON,False,1
False,False,False,67,7,IV,Ping is 420 ms,IRON,False,1
False,False,False,0,42,IV,69stonedstud420x,IRON,False,0
False,False,False,100,13,IV,Neo Wiggin,IRON,False,11
False,False,False,80,16,IV,Dieametrik,IRON,False,8
False,False,False,50,21,IV,Valkery Draconis,IRON,False,16
False,False,False,58,9,IV,BloodDisciple,IRON,False,1
False,False,False,98,35,IV,LostMyMind,IRON,False,20
False,False,False,54,44,IV,BAKEee,IRON,False,29
False,False,False,75,31,IV,YellowBedwetter,IRON,False,21
False,False,False,84,8,IV,Vekst,IRON,False,2
False,False,False,0,35,IV,Wisemight,IRON,False,22
False,True,False,84,7,IV,Teemo Mayne,IRON,False,5
False,False,False,27,24,IV,2 Fast 2 Ferrous,IRON,False,8
False,False,False,45,9,IV,KXNG Crooked,IRON,False,1
