freshBlood,hotStreak,inactive,leaguePoints,losses,rank,summonerName,tier,veteran,wins
False,False,False,0,9,IV,TheOnnomise,IRON,False,0
False,False,False,64,8,IV,MrMostafa1,IRON,False,1
False,False,False,7,158,IV,headlezz2,IRON,True,82
False,False,False,64,8,IV,A Fat Baboon,IRON,False,1
False,False,False,0,65,IV,Iron Monkeý,IRON,False,19
False,False,False,0,85,IV,DrTryll,IRON,True,46
False,False,False,70,7,IV, zZMouseZz,IRON,False,1
False,False,False,45,89,IV,xoid01,IRON,True,39
False,False,False,62,103,IV,ED BENG ,IRON,True,54
False,False,False,50,108,IV,MyDadTouchedMe,IRON,True,56
False,False,False,23,87,IV,Yah Cabbage,IRON,False,26
False,False,False,30,16,IV,Zeloxin,IRON,False,2
False,False,False,37,369,IV,Andr344,IRON,True,262
False,False,False,2,154,IV,MAK97,IRON,True,78
False,False,False,49,161,IV,GuyAssassin,IRON,True,100
False,False,False,0,122,IV,Pabie GO,IRON,True,27
False,False,False,29,147,IV,WraithDaGhost,IRON,True,111
False,False,False,97,29,IV,239583,IRON,False,5
False,False,False,0,246,IV,Ukoti,IRON,True,197
False,False,False,70,7,IV,DEMONIAI,IRON,False,1
False,False,False,43,121,IV,juanubz3,IRON,True,55
False,False,False,60,69,IV,Blackkdomina,IRON,False,22
False,False,False,70,7,IV,InsaneBeam101,IRON,False,1
False,False,False,2,100,IV,dittotron,IRON,False,32
False,False,False,20,319,IV,   Ul II M II lU,IRON,True,195
False,False,False,64,8,IV,ArlensM,IRON,False,1
False,False,False,22,56,IV,ZeynK,IRON,False,14
False,False,False,79,154,IV,Casspurr,IRON,True,90
False,False,False,60,76,IV,pHanTomARC1,IRON,True,26
False,False,False,17,133,IV,fnordfeline,IRON,True,68
False,False,False,61,26,IV,donbigg,IRON,False,8
False,False,False,100,132,IV,UpskillGod,IRON,True,70
False,False,False,62,16,IV,llIllIlIllIllIll,IRON,False,2
False,False,False,61,75,IV,MF 0R TR0LL,IRON,False,27
False,False,False,54,264,IV,YeRedKeyEye25,IRON,True,133
False,False,False,83,93,IV,IRON GATEKEEPERS,IRON,True,31
False,False,False,48,439,IV,Meow Nyang,IRON,True,205
False,False,False,75,298,IV,noface1601,IRON,True,190
False,False,False,86,48,IV,GPV247,IRON,False,3
False,False,False,0,168,IV,archave,IRON,True,94
False,False,False,0,93,IV,Tohoku Kiritan,IRON,False,14
False,False,False,82,147,IV,Chronosinger,IRON,True,89
False,False,False,0,89,IV,TakeMeToTheTop,IRON,False,24
False,False,False,75,101,IV,helking111,IRON,False,42
False,False,False,60,87,IV,wPfYAnn,IRON,False,28
False,False,False,0,105,IV,FaZeFakayttv,IRON,True,42
False,False,False,100,10,IV,spinkli,IRON,False,3
False,False,False,20,163,IV,matrix14729,IRON,True,77
False,False,False,0,64,IV,dsn,IRON,False,0
False,False,False,0,63,IV,positive comment,IRON,False,12
False,False,False,72,78,IV,Oracle Hamster,IRON,False,29
False,False,False,59,157,IV,Alpha Male 2004,IRON,True,75
False,False,False,0,197,IV,God Zed,IRON,True,31
False,False,False,10,160,IV,SupremeMickey,IRON,True,100
False,False,False,0,120,IV,theycallmeamir,IRON,False,52
False,False,False,84,137,IV,Iron Maniac,IRON,True,74
False,False,False,75,52,IV,nPaula,IRON,False,2
False,False,False,17,98,IV,AaronTorkil,IRON,False,40
False,False,False,67,81,IV,CammyIce,IRON,True,26
False,False,False,15,64,IV,ZipZap,IRON,True,39
False,False,False,73,53,IV,lRON IMMIGRANT,IRON,False,8
False,False,False,39,147,IV,noface,IRON,True,106
